season,ACTION_TYPE,creation_family,finish_family,shots,share
2022-23,Jump Shot,other_or_unknown,regular_jumper,63979,0.2945354939692478
2022-23,Layup Shot,other_or_unknown,layup,5824,0.026811527483657123
2022-23,Pullup Jump shot,pull_up_or_self_created,regular_jumper,27215,0.12528772672866217
2022-23,Putback Dunk Shot,putback,dunk,560,0.002578031488813185
2022-23,Putback Layup Shot,putback,layup,3525,0.01622778749654728
2022-23,Reverse Dunk Shot,other_or_unknown,dunk,119,5.478316913728018e-4
2022-23,Reverse Layup Shot,other_or_unknown,layup,1400,0.006445078722032962
2022-23,Running Alley Oop Dunk Shot,drive_cut_or_roll,dunk,468,0.002154497744222447
2022-23,Running Alley Oop Layup Shot,drive_cut_or_roll,layup,161,7.411840530337907e-4
2022-23,Running Dunk Shot,other_or_unknown,dunk,2569,0.011826719454930485
2022-23,Running Finger Roll Layup Shot,other_or_unknown,layup,1500,0.006905441487892459
2022-23,Running Jump Shot,other_or_unknown,regular_jumper,4398,0.02024675444250069
2022-23,Running Layup Shot,other_or_unknown,layup,6766,0.031148144738053586
2022-23,Running Pull-Up Jump Shot,pull_up_or_self_created,regular_jumper,2601,0.011974035540005524
2022-23,Running Reverse Dunk Shot,other_or_unknown,dunk,24,1.1048706380627935e-4
2022-23,Running Reverse Layup Shot,other_or_unknown,layup,624,0.002872663658963263
2022-23,Step Back Bank Jump Shot,pull_up_or_self_created,step_back,74,3.4066844673602797e-4
2022-23,Step Back Jump shot,pull_up_or_self_created,step_back,10458,0.048144738053586225
2022-23,Tip Dunk Shot,putback,dunk,822,0.0037841819353650677
2022-23,Tip Layup Shot,putback,layup,4685,0.021567995580517446
2022-23,Turnaround Bank Hook Shot,other_or_unknown,hook,201,9.253291593775896e-4
2022-23,Turnaround Bank shot,other_or_unknown,fadeaway_or_turnaround,306,0.0014087100635300617
2022-23,Turnaround Fadeaway Bank Jump Shot,other_or_unknown,fadeaway_or_turnaround,100,4.6036276585949726e-4
2022-23,Turnaround Fadeaway shot,other_or_unknown,fadeaway_or_turnaround,3214,0.014796059294724244
2022-23,Turnaround Hook Shot,other_or_unknown,hook,2546,0.0117208360187828
