season,type_text,events,share
2022-23,Flagrant Foul Type 2,14,2.4164261747283246e-5
2022-23,Floating Jump Shot,4323,0.00746157882382182
2022-23,Free Throw - 1 of 1,6908,0.011923337153588048
2022-23,Free Throw - 1 of 2,23469,0.040507932781927894
2022-23,Free Throw - 1 of 3,722,0.0012461854986813216
2022-23,Free Throw - 2 of 2,23456,0.04048549453887684
2022-23,Free Throw - 2 of 3,722,0.0012461854986813216
2022-23,Free Throw - 3 of 3,722,0.0012461854986813216
2022-23,Free Throw - Clear Path 1 of 2,25,4.315046740586294e-5
2022-23,Free Throw - Clear Path 2 of 2,25,4.315046740586294e-5
2022-23,Free Throw - Flagrant 1 of 1,32,5.523259827950456e-5
2022-23,Free Throw - Flagrant 1 of 2,123,2.1230029963684567e-4
2022-23,Free Throw - Flagrant 1 of 3,36,6.213667306444263e-5
2022-23,Free Throw - Flagrant 2 of 2,123,2.1230029963684567e-4
2022-23,Free Throw - Flagrant 2 of 3,36,6.213667306444263e-5
2022-23,Free Throw - Flagrant 3 of 3,36,6.213667306444263e-5
2022-23,Free Throw - Technical,1432,0.002471658773007829
2022-23,Full Timeout,13281,0.022923254304690627
2022-23,Hook Driving Bank,392,6.765993289239309e-4
2022-23,Hook Shot,1875,0.0032362850554397207
2022-23,Hook Shot Bank,142,2.450946548653015e-4
2022-23,Hook Turnaround Bank,201,3.4692975794313805e-4
2022-23,Illegal Assist Turnover,16,2.761629913975228e-5
2022-23,Inbound Turnover,27,4.660250479833198e-5
2022-23,Jump Ball,6,1.0356112177407105e-5
2022-23,Jump Shot,64020,0.11049971693293381
2022-23,Jump Shot Bank,452,7.801604506980019e-4
2022-23,Jumpball,2089,0.0036056530564339074
2022-23,Jumpball Violation Turnover,3,5.178056088703553e-6
2022-23,Kicked Ball,1050,0.0018123196310462434
2022-23,Kicked Ball Turnover,25,4.315046740586294e-5
2022-23,Lane,79,1.363554770025269e-4
2022-23,Lane Violation Turnover,15,2.5890280443517765e-5
2022-23,Layup Driving Reverse,2217,0.0038265834495519254
2022-23,Layup Running Reverse,623,0.0010753096477541045
2022-23,Layup Shot,5844,0.010086853260794521
2022-23,Layup Shot Putback,3528,0.006089393960315378
2022-23,Loose Ball Foul,2878,0.004967481807762942
2022-23,Lost Ball Turnover,6510,0.01123638171248671
2022-23,No Shot (Default Shot),5,8.630093481172588e-6
2022-23,No Turnover,14,2.4164261747283246e-5
2022-23,No Violation,1,1.7260186962345175e-6
2022-23,Not Available,28,4.832852349456649e-5
2022-23,Offensive Charge,1218,0.0021022907720136424
2022-23,Offensive Foul,3497,0.006035887380732108
2022-23,Offensive Foul Turnover,4737,0.00817615056406291
2022-23,Offensive Goaltending Turnover,114,1.96766131370735e-4
2022-23,Offensive Rebound,40004,0.06904765192416565
2022-23,Out of Bounds - Bad Pass Turnover,3859,0.006660706148769004
2022-23,Out of Bounds - Lost Ball Turnover,1739,0.003001546512751826
2022-23,Out of Bounds - Step Turnover,813,0.0014032532000386629
2022-23,Palming Turnover,160,2.761629913975228e-4
2022-23,Personal Foul,14102,0.024340315654299168
2022-23,Personal Take Foul,859,0.0014826500600654507
2022-23,Pullup Bank Jump Shot,509,8.785435163833695e-4
2022-23,Pullup Jump Shot,26735,0.04614510984382983
2022-23,Punched Ball Turnover,1,1.7260186962345175e-6
2022-23,Putback Dunk Shot,561,9.682964885875644e-4
2022-23,Reverse Dunk Shot,120,2.0712224354814212e-4
2022-23,Reverse Layup Shot,1402,0.002419878212120794
2022-23,Running Alley Oop Dunk Shot,469,8.095027685339888e-4
2022-23,Running Alley Oop Layup Shot,160,2.761629913975228e-4
2022-23,Running Dunk Shot,2575,0.004444498142803883
2022-23,Running Finger Roll Layup,1498,0.0025855760069593073
2022-23,Running Jump Shot,4405,0.00760311235691305
2022-23,Running Layup Shot,6767,0.01167996851741898
2022-23,Running Pullup Jump Shot,2615,0.004513538890653264
2022-23,Running Reverse Dunk Shot,25,4.315046740586294e-5
2022-23,Shooting Foul,26024,0.044917910550807086
2022-23,Shot Clock Turnover,1546,0.002668424904378564
2022-23,Step Back Bank Jump Shot,74,1.277253835213543e-4
2022-23,Step Back Jump Shot,10464,0.018061059637397993
2022-23,Substitution,67065,0.11575544386296792
2022-23,Technical Foul,979,0.0016897723036135928
2022-23,Tip Dunk Shot,820,0.0014153353309123045
2022-23,Tip Shot,4687,0.008089849629251184
2022-23,Transition Take Foul,212,3.6591596360171776e-4
2022-23,Traveling,2767,0.00477589373248091
2022-23,Turnaround Bank Jump Shot,310,5.350657958327005e-4
2022-23,Turnaround Fade Away Jump Shot,3219,0.0055560541831789125
2022-23,Turnaround Fadeaway Bank Jump Shot,92,1.587937200535756e-4
2022-23,Turnaround Hook Shot,2545,0.004392717581916847
2022-23,Turnaround Jump Shot,2868,0.004950221620800596
2023-24,3-Second Turnover,159,2.766439435855143e-4
2023-24,5-Second Back to the Basket Turnover,3,5.219697048783288e-6
2023-24,5-Second Turnover,58,1.0091414294314359e-4
2023-24,8-Second Turnover,52,9.047474884557701e-5
2023-24,Alley Oop Dunk Shot,1629,0.002834295497489326
2023-24,Alley Oop Layup Shot,769,0.001337982343504783
2023-24,Away from Play Foul,94,1.6355050752854305e-4
2023-24,Back Court Turnover,195,3.3928030817091377e-4
2023-24,"Bad Pass
Turnover",11702,0.020360298288287348
2023-24,Basket from Below Turnover,1,1.7398990162610963e-6
2023-24,Challenge,301,5.2370960389459e-4
2023-24,Clear Path Foul,24,4.1757576390266306e-5
2023-24,Coach's Challenge (Overturned),749,0.001303184363179561
2023-24,Coach's Challenge (Stands),325,5.654671802848562e-4
2023-24,Coach's Challenge (Supported),200,3.4797980325221924e-4
2023-24,Coach's Challenge (replaycenter),149,2.5924495342290334e-4
2023-24,Cutting Dunk Shot,3019,0.005252755130092249
2023-24,Cutting Finger Roll Layup Shot,711,0.0012370682005616394
